FinalIDassigned,BCG,Habitat,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,OxygenRequirements,Salinity,Saprobity,TrophicState,ZHR,CRUS,Green,Salinity2,NitrogenUptakeMetabolism2,Phylum,Class,Order,Family,Genus,Notes
Navicula libonensis,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula limata,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula longa,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula longicephala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula lundii,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula margalithii,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,FB,NA,NA,NA,NA,NA,FB,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula medioconvexa,4,BN,NA,NA,NA,NA,high,high,MM,NA,NA,F,NA,NA,NA,NA,NA,F,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula menisculus,3,BN,NA,NA,NA,NA,high,NA,MM,NAHON,DO_50,FB,AM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula meniscus,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,BF,NA,E,NA,NA,NA,Halo,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula microcari,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula microdigitoradiata,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula modica,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,F,OS,NA,NA,NA,NA,F,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula moskalii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula normaloides,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula notha,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula novaesiberica,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula oblonga,3,BN,NA,NA,NA,NA,NA,NA,MM,NAHON,DO_75,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula obsoleta,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula occulta,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula oppugnata,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,FB,OS,NA,NA,NA,NA,FB,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula parabilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula peregrina,4,BN,NA,NA,NA,NA,high,high,MM,NA,NA,B,NA,E,NA,NA,NA,Halo,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula perminuta,4,BN,NA,NA,NA,NA,low,low,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula phyllepta,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula phylleptosoma,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula porifera var opportuna,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula praeterita,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula pseudoarvensis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,FB,NA,NA,NA,NA,NA,FB,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula pseudolanceolata,NA,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,FB,OS,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula pseudotenelloides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula pseudoventralis,4,BN,NA,NA,NA,NA,high,NA,MM,NALON,DO_100,FB,OS,OM,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula radiosa,3,BN,NA,NA,NA,NA,low,low,MM,NAHON,DO_75,FB,BM,ME,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula radiosa var tenella,3,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula radiosafallax,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula radiosiola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula recens,5,BN,NA,NA,NA,NA,high,high,MM,NA,NA,BF,AM,E,NA,NA,NA,Halo,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula reichardtiana,3,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula reinhardtii,3,BN,NA,NA,NA,NA,NA,NA,MM,NAHON,DO_75,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula rhynchocephala,4,BN,NA,NA,NA,NA,NA,low,MM,NAHON,DO_30,FB,BM,I,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula rhynchotella,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula ricardae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula riediana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula rostellata,5,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_75,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula rotunda,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula ruttneri var chilensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula salinarum,4,BN,NA,NA,NA,NA,NA,NA,MM,NAHON,DO_75,B,BM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula salinicola,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula sanctaecrucis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula schadei,NA,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,FB,OS,M,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula schmassmanni,2,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula schroeteri,5,BN,NA,NA,NA,NA,NA,NA,MM,NA,DO_100,BF,BM,E,NA,NA,NA,Halo,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula schweigeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula seibigiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula sovereignii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula splendicula,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula stankovici,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula striolata,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula subinflatoides,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula submuralis,NA,BN,NA,NA,NA,NA,high,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula subrhynchocephala,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula subrostellata,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula subrotundata,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,FB,OS,NA,NA,NA,NA,FB,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula supergregaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula symmetrica,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula tenelloides,4,BN,NA,NA,NA,NA,NA,high,MM,NALON,DO_100,FB,OS,E,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula tenuipunctata,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula tridentula,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula trilatera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula tripunctata,4,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_75,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula triundulata,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula trivialis,4,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_50,BF,AM,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula upsaliensis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,FB,BM,NA,NA,NA,NA,FB,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula vandamii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula vandamii var mertensiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula veneta,4,BN,NA,NA,NA,NA,high,high,MM,NAHON,DO_30,BF,AMPS,E,NA,NA,NA,Halo,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula ventralis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula vilaplanii,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula viridula,4,BN,NA,NA,NA,NA,high,NA,MM,NAHON,DO_75,FB,AM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula viridula var linearis,4,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula viridulacalcis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula vitabunda,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula vulpina,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula walkeri,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula weberi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula wiesneri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Navicula wildii,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,
Naviculaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,NA,
Naviculales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,NA,NA,
Neidiopsis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidiopsis,
Neidiopsis levanderi,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidiopsis,
Neidium,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium affine,NA,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,FB,OS,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium affine var longiceps,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium alpinum,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium ampliatum,3,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,FB,NA,OM,NA,NA,NA,FB,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium apiculatum var constrictum,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium binodeforme,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium binodis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NALON,DO_100,FB,OS,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium bisulcatum,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium dubium,3,BN,NA,NA,NA,NA,NA,low,MM,NALON,DO_100,FB,BM,ME,NA,NA,NA,FB,NALON,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium hercynicum,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium iridis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium productum,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium septentrionalis,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium stoermeri,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Neidium tenuissimum,NA,BN,NA,NA,NA,NA,NA,NA,MM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium,
Nephrocytium,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Trebouxiophyceae,Oocystales,Oocystaceae,Nephrocytium,
Nephrocytium agardhianum,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Trebouxiophyceae,Oocystales,Oocystaceae,Nephrocytium,
Nephrocytium limneticum,NA,NA,No,NI,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Chlorophyta,Trebouxiophyceae,Oocystales,Oocystaceae,Nephrocytium,
Netrium,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Zygnematophyceae,Zygnematales,Mesotaeniaceae,Netrium,
Netrium digitus,NA,NA,No,NA,NI,NI,NI,NI,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Zygnematophyceae,Zygnematales,Mesotaeniaceae,Netrium,
Nitella,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Charophyceae,Charales,Characeae,Nitella,
Nitella hyalina,,,,,,,,,,,,,,,,,,,,,,,,,New
Nitella tenuissima,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,NA,NA,Charophyta,Charophyceae,Charales,Characeae,Nitella,
Nitzschia,NA,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia acicularioides,NA,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia acicularis,4,BN,NA,NA,NA,NA,high,high,HM,NHHONO,DO_30,FB,AM,E,NA,NA,NA,FB,Heterotroph,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia acidoclinata,NA,BN,NA,NA,NA,NA,NA,NA,HM,NALON,DO_100,F,BM,M,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia aequorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia agnita,NA,BN,NA,NA,NA,NA,NA,high,HM,NA,NA,B,NA,NA,NA,NA,NA,Halo,NA,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia alpina,2,BN,NA,NA,NA,NA,NA,NA,HM,NALON,DO_100,F,OS,O,NA,NA,NA,F,NALON,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia alpinobacillum,NA,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia amphibia,5,BN,NA,NA,NA,NA,high,high,HM,NHHONF,DO_50,FB,AM,E,NA,NA,NA,FB,Heterotroph,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia amphibioides,4,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia amplectens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia angustata,NA,BN,NA,NA,NA,NA,NA,NA,HM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia angustatula,4,BN,NA,NA,NA,NA,low,NA,HM,NA,NA,BF,NA,E,NA,NA,NA,Halo,NA,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia archibaldii,3,BN,NA,NA,NA,NA,high,NA,HM,NAHON,DO_75,FB,BM,E,NA,NA,NA,FB,NAHON,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia aurariae,4,BN,NA,NA,NA,NA,NA,NA,HM,NHHONF,DO_30,B,AM,NA,NA,NA,NA,Halo,Heterotroph,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
Nitzschia austriaca,NA,BN,NA,NA,NA,NA,high,high,HM,NHHONO,DO_50,BF,BM,E,NA,NA,NA,Halo,Heterotroph,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,
